time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.4853,0.887784,0.0145825,-0.596385,-0.125761,-2.62277,-0.462056,-3.96364,17.3124,8.93893,-3.11328,11.3519,4.0572,0,0,0,0,0,0
3.49032,0.887282,0.00897877,-0.609222,-0.111421,-2.63331,-0.463008,-4.63344,17.3005,7.98589,-4.33872,11.4761,3.82536,0,0,0,0,0,0
3.4953,0.882428,0.0130414,-0.608695,-0.0953219,-2.64519,-0.464254,-3.51842,16.7411,7.99216,-3.44448,11.6417,4.0986,0,0,0,0,0,0
3.50035,0.871019,0.0353782,-0.611435,-0.0957134,-2.66997,-0.47766,-4.10154,15.9215,8.30148,-2.9394,12.5608,4.94316,0,0,0,0,0,0
3.5053,0.871498,0.0712093,-0.616731,-0.091549,-2.69716,-0.500277,-4.30248,15.6182,8.20325,-3.75912,11.8073,4.93488,0,0,0,0,0,0
3.51034,0.874956,0.113598,-0.615363,-0.0995512,-2.71041,-0.516202,-4.29854,15.5236,7.93364,-2.41776,11.4595,4.58712,0,0,0,0,0,0
3.51523,0.878477,0.151879,-0.605715,-0.107992,-2.72558,-0.520801,-4.3143,16.0949,7.72464,-3.29544,12.2047,3.99096,0,0,0,0,0,0
3.52024,0.889265,0.174094,-0.600514,-0.117652,-2.73316,-0.512707,-5.01562,16.2683,7.95454,-2.50884,10.7474,3.40308,0,0,0,0,0,0
3.52528,0.907917,0.184315,-0.593987,-0.122488,-2.72,-0.522177,-4.8659,16.8671,7.524,-3.94128,10.557,5.32404,0,0,0,0,0,0
3.53031,0.923417,0.184017,-0.5843,-0.109665,-2.70635,-0.553622,-4.8659,16.8671,7.524,-3.94128,10.557,5.32404,0,0,0,0,0,0
3.53531,0.926028,0.176657,-0.582193,-0.105194,-2.69799,-0.573588,-4.02668,17.1193,7.92946,-3.26232,10.8634,4.52088,0,0,0,0,0,0
3.54033,0.918429,0.169421,-0.583011,-0.107603,-2.69315,-0.583854,-4.02668,17.1193,7.92946,-3.26232,10.8634,4.52088,0,0,0,0,0,0
3.5453,0.929923,0.164681,-0.577052,-0.0946227,-2.70018,-0.589593,-5.6736,16.9026,7.39442,-4.40496,11.8238,4.13172,0,0,0,0,0,0
3.55021,0.941855,0.164381,-0.569484,-0.0810037,-2.70188,-0.590136,-3.88878,16.9065,7.88348,-3.32856,10.4328,4.13172,0,0,0,0,0,0
