time,res_0,res_1,res_2,res_3,res_4,res_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5,qd_raw_0,qd_raw_1,qd_raw_2,qd_raw_3,qd_raw_4,qd_raw_5,qd_smooth_0,qd_smooth_1,qd_smooth_2,qd_smooth_3,qd_smooth_4,qd_smooth_5
3.1603,0.48645,-1.16855,-0.582588,-0.15265,-2.28373,-0.195705,0.051811,10.2838,5.45754,0.220671,3.85381,0.167975,-0.00559768,-0.00764834,-0.00532901,-0.000317764,0.000175566,0.000903431,-3.2872,6.6025,1.70684,-3.32573,4.38036,2.93253,-0.211534,0.0314159,0.150796,-0.263894,0.134041,0.19059,-0.209809,0.0260269,0.1458,-0.268499,0.123766,0.171947
3.16532,0.508401,-1.20123,-0.59553,-0.169456,-2.39767,-0.22129,0.0565398,10.2807,5.45529,0.222193,3.84927,0.167405,-0.00580667,-0.00818202,-0.00564951,-0.000369267,0.000170645,0.000930727,-3.29056,6.64323,1.70155,-3.34145,4.40437,2.9224,-0.213628,0.0397935,0.131947,-0.301593,0.144513,0.15708,-0.210724,0.0293275,0.142478,-0.276434,0.12874,0.168382
3.17032,0.53291,-1.21931,-0.615146,-0.188271,-2.50943,-0.246403,0.0591847,10.2791,5.45403,0.223142,3.84676,0.167104,-0.00588348,-0.00838467,-0.00578887,-0.00039815,0.000161957,0.000935003,-3.2968,6.65957,1.69834,-3.34146,4.40082,2.93465,-0.217817,0.0376991,0.134041,-0.27646,0.125664,0.186401,-0.21242,0.0313293,0.140461,-0.27644,0.128005,0.172691
3.17531,0.551188,-1.21814,-0.634606,-0.203119,-2.61363,-0.270573,0.0626815,10.2767,5.45229,0.224002,3.84324,0.166598,-0.00631776,-0.00893942,-0.00611271,-0.0004345,0.00019409,0.000980802,-3.30338,6.66313,1.70864,-3.3484,4.42225,2.96387,-0.219911,0.0335103,0.167552,-0.291121,0.146608,0.215723,-0.214209,0.03185,0.146928,-0.279944,0.132445,0.182963
3.18033,0.568103,-1.20639,-0.651091,-0.221089,-2.71413,-0.290676,0.0656899,10.2748,5.45085,0.225106,3.84026,0.166258,-0.00654372,-0.00934825,-0.00635098,-0.000473184,0.000184329,0.000998548,-3.30471,6.6657,1.71171,-3.35967,4.43136,2.97763,-0.215723,0.0335103,0.154985,-0.303687,0.140324,0.203156,-0.214571,0.0322478,0.148858,-0.285634,0.134333,0.187802
3.18532,0.584829,-1.18239,-0.665294,-0.233865,-2.80663,-0.308354,0.0681612,10.2731,5.4496,0.225844,3.83776,0.165916,-0.00674745,-0.00946887,-0.00641864,-0.000496209,0.000252119,0.00101772,-3.3094,6.67586,1.71483,-3.35038,4.43585,2.96388,-0.219911,0.0397935,0.15708,-0.265988,0.13823,0.167552,-0.215846,0.0340492,0.150821,-0.280944,0.135264,0.182967
3.19032,0.601497,-1.14887,-0.678252,-0.242488,-2.89253,-0.323708,0.0681612,10.2731,5.4496,0.225844,3.83776,0.165916,-0.00684374,-0.00945433,-0.00640747,-0.000499434,0.000305755,0.00103327,-3.31298,6.68236,1.71722,-3.34329,4.43928,2.95339,-0.219911,0.0397935,0.15708,-0.265988,0.13823,0.167552,-0.216819,0.0354237,0.152319,-0.277365,0.135973,0.179279
3.19532,0.613256,-1.10785,-0.690414,-0.247241,-2.97048,-0.34534,0.0735419,10.2695,5.44691,0.227676,3.83251,0.165303,-0.00718392,-0.00975253,-0.00658584,-0.00054795,0.000336668,0.00104115,-3.31938,6.67279,1.72699,-3.33097,4.43705,2.96677,-0.2241,0.0272271,0.178024,-0.251327,0.134041,0.198968,-0.218559,0.033465,0.158461,-0.271143,0.135512,0.183984
3.2003,0.620908,-1.06137,-0.702242,-0.249125,-3.04089,-0.372502,0.0735419,10.2695,5.44691,0.227676,3.83251,0.165303,-0.0073169,-0.00974814,-0.00658653,-0.000548286,0.000366317,0.00104969,-3.32423,6.66398,1.73441,-3.32161,4.43536,2.97692,-0.2241,0.0272271,0.178024,-0.251327,0.134041,0.198968,-0.219879,0.0319792,0.163121,-0.266423,0.135161,0.187553
3.2053,0.632058,-1.01908,-0.704585,-0.248588,-3.09854,-0.402263,0.0768647,10.2674,5.44529,0.229209,3.8295,0.165057,-0.00739607,-0.0100723,-0.00680285,-0.000595401,0.00030846,0.0010453,-3.32979,6.65602,1.73211,-3.3224,4.44132,2.98895,-0.226195,0.0272271,0.15708,-0.268083,0.140324,0.205251,-0.221389,0.0308432,0.161676,-0.26682,0.136396,0.191784
3.21031,0.646382,-0.980266,-0.698216,-0.245857,-3.14422,-0.434271,0.0768647,10.2674,5.44529,0.229209,3.8295,0.165057,-0.00737768,-0.0101619,-0.00687648,-0.000597879,0.00027388,0.00104416,-3.33402,6.64906,1.73036,-3.323,4.44585,2.99812,-0.226195,0.0272271,0.15708,-0.268083,0.140324,0.205251,-0.222539,0.0299776,0.160576,-0.267122,0.137336,0.195007
3.2153,0.66421,-0.945962,-0.692029,-0.241097,-3.18209,-0.461996,0.0825589,10.2636,5.44246,0.23129,3.82382,0.16443,-0.00752946,-0.0105691,-0.0071326,-0.00065353,0.000234177,0.00103937,-3.33723,6.64316,1.72903,-3.33336,4.44447,2.99227,-0.226195,0.0272271,0.15708,-0.289027,0.136136,0.186401,-0.223412,0.0293206,0.159741,-0.272354,0.137049,0.192952
3.22032,0.685332,-0.914982,-0.685633,-0.234033,-3.21302,-0.485899,0.0825589,10.2636,5.44246,0.23129,3.82382,0.16443,-0.00752063,-0.0106378,-0.00718654,-0.000655662,0.000207426,0.00103827,-3.33968,6.63825,1.72801,-3.34128,4.44341,2.98781,-0.226195,0.0272271,0.15708,-0.289027,0.136136,0.186401,-0.224079,0.0288186,0.159103,-0.276352,0.13683,0.191381
3.2253,0.705953,-0.877417,-0.67395,-0.222645,-3.23714,-0.500656,0.0884548,10.2596,5.4395,0.233328,3.81785,0.163777,-0.00788794,-0.0111707,-0.00751457,-0.00072114,0.000236384,0.0010633,-3.34888,6.64871,1.73122,-3.3443,4.45225,2.98585,-0.234572,0.0335103,0.167552,-0.282743,0.144513,0.188496,-0.22658,0.0299367,0.161116,-0.277875,0.138661,0.190693
3.23032,0.726644,-0.834634,-0.658184,-0.207158,-3.25581,-0.507452,0.0884548,10.2596,5.4395,0.233328,3.81785,0.163777,-0.00804249,-0.0113358,-0.00762293,-0.000734201,0.000262239,0.00108539,-3.35592,6.65564,1.73367,-3.34661,4.45902,2.98435,-0.234572,0.0335103,0.167552,-0.282743,0.144513,0.188496,-0.228496,0.0307935,0.162659,-0.279042,0.140064,0.190166
