time,res_0,res_1,res_2,res_3,res_4,res_5,m_0,m_1,m_2,m_3,m_4,m_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5
2.21035,0.456313,-1.02804,0.200192,-0.127174,-4.09262,0.0162619,0.766545,1.69049,1.1814,-0.405408,0.997154,-0.114751,-0.0631926,10.3365,5.49454,0.197412,3.93537,0.188259,2.42704e-05,0.000441469,-7.05106e-05,-4.28996e-05,1.31613e-05,-7.68097e-05,3.85865,5.43983,1.5546,-3.05995,4.61283,-2.78733
2.2155,0.441085,-0.987886,0.179853,-0.120953,-4.1821,0.206306,0.579049,1.277,0.892428,-0.306246,0.753252,-0.0866834,-0.0631926,10.3365,5.49454,0.197412,3.93537,0.188259,1.98202e-05,0.000488244,-9.73429e-05,-5.92848e-05,6.58068e-06,-0.000100572,3.89359,5.60997,1.56286,-3.06893,4.65464,-2.79452
2.22028,0.410902,-0.93694,0.164075,-0.118309,-4.27043,0.320897,0.409632,1.7019,1.15615,-0.453266,1.09481,-0.25273,-0.0642521,10.3367,5.49473,0.197252,3.93568,0.188077,2.57698e-05,0.000514217,-0.00011265,-6.02246e-05,-1.23643e-06,-0.000116666,3.91496,5.87263,1.57103,-3.0811,4.71485,-2.81204
2.22549,0.364291,-0.884323,0.135939,-0.105674,-4.43962,0.406612,0.308658,1.28238,0.871158,-0.341536,0.824938,-0.190432,-0.0642521,10.3367,5.49473,0.197252,3.93568,0.188077,1.95492e-05,0.000570652,-0.000110309,-6.6908e-05,-1.30103e-06,-0.000130087,3.93249,6.04114,1.57771,-3.09108,4.76422,-2.82641
2.23027,0.31672,-0.829786,0.115226,-0.128305,-4.52748,0.484809,0.364242,1.48866,1.01046,-0.443089,1.07885,-0.204289,-0.0649927,10.3368,5.49483,0.197144,3.93586,0.187945,2.97806e-05,0.000600736,-0.000122864,-6.52124e-05,-8.13074e-06,-0.000142228,3.95197,6.13909,1.58397,-3.10291,4.8294,-2.84067
2.23523,0.269736,-0.777191,0.0926348,-0.175082,-4.55179,0.510327,0.509085,1.31217,0.882207,-0.927807,0.909887,-0.19743,-0.0655199,10.3369,5.49492,0.197041,3.93601,0.18782,4.62355e-05,0.000633518,-0.000152508,-6.16138e-05,-1.14645e-05,-0.000152154,3.98204,6.24793,1.58891,-3.12806,4.88581,-2.85479
2.24046,0.244865,-0.722147,0.0690954,-0.191363,-4.54161,0.511138,0.39665,1.42076,0.950176,-0.840301,0.994821,-0.142052,-0.0663406,10.3369,5.49496,0.196944,3.93615,0.187697,6.17528e-05,0.000657749,-0.00017743,-5.4846e-05,-1.91887e-05,-0.000159072,4.00589,6.352,1.59449,-3.1521,4.95054,-2.866
2.24536,0.242365,-0.668658,0.0492423,-0.212235,-4.51286,0.490036,0.515099,1.52004,1.01555,-0.560778,1.15505,-0.210423,-0.0669215,10.337,5.495,0.196845,3.93627,0.187578,8.29959e-05,0.000682584,-0.000214732,-5.2017e-05,-2.91645e-05,-0.000176241,4.03568,6.41104,1.59927,-3.16738,5.02551,-2.88104
2.25057,0.224682,-0.623192,0.0268145,-0.259315,-4.44961,0.481026,0.422598,1.16741,0.826396,-0.936587,0.772823,-0.244628,-0.0680909,10.3369,5.49495,0.196733,3.93638,0.187427,0.000108638,0.000687212,-0.000254245,-4.55142e-05,-4.2683e-05,-0.000183707,4.06144,6.42733,1.60721,-3.19395,5.07308,-2.89896
2.25527,0.221702,-0.582928,0.0140801,-0.236723,-4.38357,0.442473,0.54003,1.38911,0.973353,0.262017,0.697403,-0.158735,-0.0684911,10.3369,5.49497,0.196621,3.93646,0.187297,0.000118966,0.000683465,-0.000309581,-5.77642e-05,-6.92472e-05,-0.000233905,4.08993,6.47797,1.61654,-3.18785,5.10162,-2.9101
2.26033,0.178231,-0.552965,-0.00393583,-0.26275,-4.38177,0.338592,0.378858,0.786087,0.510133,-0.912922,0.480314,-0.126013,-0.0697161,10.3368,5.49485,0.196539,3.93654,0.187164,0.000148743,0.00064869,-0.000369101,-4.98645e-05,-9.24382e-05,-0.000239625,4.11319,6.52734,1.61853,-3.21291,5.1298,-2.91919
2.26554,0.118089,-0.512595,-0.0125765,-0.269299,-4.35042,0.285599,0.562658,1.21499,0.803102,-0.677792,0.787034,-0.0853846,-0.0704832,10.3367,5.49481,0.196418,3.9366,0.187077,0.000180688,0.00062994,-0.000449773,-4.29225e-05,-0.000112645,-0.000265577,4.14835,6.56931,1.62254,-3.23235,5.1791,-2.92624
2.2702,0.0862511,-0.482329,-0.022177,-0.271109,-4.31655,0.332394,0.398511,1.00352,0.655894,-1.05192,0.741068,-0.153647,-0.0714406,10.3365,5.49468,0.196317,3.93664,0.186857,0.000219887,0.00057015,-0.000522596,-2.69745e-05,-0.000137401,-0.000266402,4.17088,6.59189,1.62456,-3.25892,5.22459,-2.9365
2.27531,0.0404147,-0.451779,-0.0351274,-0.273203,-4.2479,0.564429,0.316927,1.01692,0.662141,-0.940927,0.595008,0.0378931,-0.0723835,10.3363,5.49454,0.1962,3.93666,0.186669,0.000248405,0.000470775,-0.000609158,-6.24131e-06,-0.000162853,-0.000269732,4.18962,6.62171,1.62786,-3.28504,5.25748,-2.93489
2.28022,-0.0180525,-0.408645,-0.0434016,-0.30953,-4.14411,0.760738,0.525271,1.61185,1.05271,-0.445992,1.14818,-0.088277,-0.0733683,10.3361,5.49436,0.196106,3.93666,0.186519,0.000292206,0.000410981,-0.000703691,5.44741e-06,-0.000205459,-0.000299363,4.21973,6.64308,1.63185,-3.29738,5.32933,-2.94214
2.28537,-0.061993,-0.370889,-0.0567797,-0.320105,-4.07249,0.895775,0.403526,1.121,0.732649,-0.227892,0.638424,-0.0255512,-0.0745354,10.3358,5.49411,0.196053,3.93663,0.186462,0.000332728,0.000340816,-0.00079183,1.12045e-05,-0.000255489,-0.000334448,4.24358,6.6598,1.63583,-3.30411,5.36399,-2.94497
2.29028,-0.104179,-0.328564,-0.0620195,-0.306195,-4.0041,0.930721,0.603844,1.49704,0.969999,-0.759458,1.0726,-0.206072,-0.0754354,10.3355,5.49389,0.195904,3.93657,0.186199,0.000399098,0.000233709,-0.000924314,3.75875e-05,-0.000299304,-0.000362706,4.27913,6.67217,1.63873,-3.32467,5.43218,-2.95968
2.29529,-0.153827,-0.278717,-0.0598388,-0.288294,-3.95145,0.877322,0.643518,1.75678,1.15183,-0.606802,0.888973,-0.083508,-0.0768257,10.335,5.4935,0.195795,3.93646,0.186018,0.000474597,8.7832e-05,-0.00108268,6.13111e-05,-0.00037865,-0.000418431,4.31593,6.68846,1.64577,-3.34161,5.47296,-2.96681
2.30032,-0.165291,-0.224858,-0.0542345,-0.271805,-3.89114,0.794867,0.514776,1.63988,1.04813,-0.198354,1.14138,-0.512462,-0.0776852,10.3347,5.49323,0.195705,3.93637,0.18588,0.000550326,3.46312e-05,-0.00117152,8.4476e-05,-0.00042408,-0.000465343,4.34583,6.69798,1.64873,-3.34756,5.54528,-3.00226
2.30521,-0.161826,-0.183554,-0.0629429,-0.313268,-3.89695,0.737865,0.488736,0.876656,0.570707,-0.82469,0.643238,-0.0281563,-0.0793975,10.334,5.4927,0.19559,3.93622,0.185701,0.000635817,-0.00014604,-0.00133985,0.00011091,-0.000498139,-0.000483758,4.37536,6.7012,1.65016,-3.36956,5.58729,-3.00486
2.31025,-0.151725,-0.150911,-0.0835437,-0.330506,-3.86358,0.58858,0.309686,0.621105,0.379374,-0.0719404,0.56289,0.0219435,-0.0808766,10.3334,5.49221,0.19542,3.93605,0.185633,0.000721094,-0.000301762,-0.00146565,0.000145117,-0.000545069,-0.000507521,4.39473,6.70361,1.64887,-3.37179,5.62985,-3.00402
2.3153,-0.125857,-0.122077,-0.100306,-0.380059,-3.90874,0.488925,0.802191,0.72789,0.540162,-1.37913,0.227514,-0.241364,-0.0821764,10.3328,5.4917,0.195367,3.93585,0.185346,0.000835154,-0.000471855,-0.00169904,0.000164689,-0.000654674,-0.000549956,4.4447,6.70539,1.65591,-3.40945,5.63301,-3.02059
2.32035,-0.118046,-0.0987373,-0.118335,-0.388,-3.89137,0.584725,0.567719,0.625466,0.448084,-0.749725,0.529919,-0.0944439,-0.083289,10.3321,5.49115,0.195244,3.93556,0.18512,0.00095737,-0.000695218,-0.00191635,0.000212133,-0.000724714,-0.000575829,4.48079,6.70382,1.65885,-3.43005,5.67192,-3.02744
2.32531,-0.0968921,-0.0774724,-0.130313,-0.428465,-3.95325,0.73417,0.321435,0.787275,0.62292,-0.830183,0.295995,0.127505,-0.0845511,10.3313,5.49054,0.195175,3.93526,0.184929,0.00104093,-0.000954316,-0.0020969,0.000246642,-0.000809494,-0.00059623,4.4987,6.70261,1.66978,-3.45242,5.67705,-3.01982
2.33036,-0.114256,-0.0652589,-0.138804,-0.418215,-4.04945,0.785872,0.45643,0.700289,0.465612,-0.293294,0.610525,-0.376717,-0.0861479,10.3304,5.48981,0.195085,3.93494,0.184773,0.00117442,-0.00113731,-0.00226601,0.000288085,-0.000890912,-0.000630244,4.52735,6.70317,1.67099,-3.46068,5.7224,-3.04551
2.33533,-0.148302,-0.0570874,-0.143994,-0.346712,-4.16676,0.841698,0.309381,0.810541,0.584025,0.00176872,0.584919,-0.0655152,-0.0876672,10.3294,5.48906,0.195009,3.93461,0.184635,0.00130353,-0.0013482,-0.00241364,0.000332905,-0.000980115,-0.000668657,4.54517,6.70211,1.67665,-3.46095,5.75879,-3.05059
2.34021,-0.162976,-0.0572149,-0.157069,-0.297081,-4.22503,0.812505,0.591376,0.544784,0.359795,-0.479733,0.579423,-0.356898,-0.0889753,10.3283,5.48815,0.194823,3.93402,0.184306,0.0014886,-0.00163774,-0.00266721,0.00041471,-0.00105855,-0.000703389,4.58211,6.7013,1.67621,-3.47383,5.8052,-3.07401
2.34543,-0.211807,-0.0561978,-0.167901,-0.290453,-4.21296,0.738772,0.518121,1.10322,0.704309,-1.04981,0.907829,-0.0662166,-0.0914322,10.3267,5.48689,0.194644,3.93345,0.184178,0.00163097,-0.00207147,-0.0029909,0.00047077,-0.00118095,-0.000717182,4.61561,6.70525,1.67668,-3.50364,5.87244,-3.07961
2.35037,-0.248708,-0.0537274,-0.184282,-0.275084,-4.15497,0.625237,0.590701,1.45956,0.936395,-0.754503,1.0761,0.219104,-0.0924025,10.3257,5.4861,0.194622,3.93294,0.183885,0.00178635,-0.00249312,-0.00331753,0.000542868,-0.00131826,-0.000756116,4.65078,6.71068,1.67861,-3.52421,5.94262,-3.06672
2.35544,-0.263006,-0.0613294,-0.201485,-0.249193,-4.07993,0.49395,0.429179,0.929323,0.655021,-0.354109,0.549802,-0.354691,-0.0946092,10.3241,5.48484,0.194539,3.93234,0.183717,0.00198406,-0.00281781,-0.00355012,0.000609219,-0.00146087,-0.000806253,4.67627,6.71205,1.68493,-3.5342,5.97278,-3.09121
2.36047,-0.266119,-0.0462553,-0.186803,-0.246376,-3.9899,0.550957,0.714042,2.25941,1.48672,-0.728313,1.52107,-0.0524838,-0.0963225,10.3225,5.48355,0.194455,3.93155,0.183462,0.00225279,-0.0034161,-0.00396764,0.000728524,-0.00165758,-0.000880064,4.71769,6.7195,1.6921,-3.55468,6.06591,-3.09682
