time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6
4.43531,2.6855,-0.328621,-0.618902,-0.137162,-0.516685,-0.723196
4.44019,2.68124,-0.349847,-0.613046,-0.142416,-0.474799,-0.700628
4.4452,2.66396,-0.373188,-0.602116,-0.134746,-0.427915,-0.672553
4.45028,2.66944,-0.409597,-0.598349,-0.117971,-0.382395,-0.668697
4.45531,2.68036,-0.441089,-0.59794,-0.0929645,-0.336434,-0.676431
4.4603,2.69028,-0.466675,-0.600683,-0.0724245,-0.292937,-0.686415
4.46531,2.69973,-0.495284,-0.605787,-0.0565128,-0.253201,-0.695467
4.47033,2.70892,-0.525041,-0.621686,-0.0466159,-0.224122,-0.711363
4.47533,2.71896,-0.554881,-0.636721,-0.0381744,-0.198455,-0.73264
4.48031,2.72414,-0.57495,-0.65184,-0.0295391,-0.179003,-0.749667
4.48532,2.72845,-0.580264,-0.65987,-0.0214792,-0.153659,-0.765327
4.49034,2.73692,-0.583981,-0.671277,-0.0144552,-0.133148,-0.77851
4.49531,2.7524,-0.593101,-0.679366,-0.0150733,-0.12068,-0.794063
4.50021,2.76809,-0.606814,-0.683505,-0.0222944,-0.109723,-0.798172
4.50535,2.7855,-0.621188,-0.6846,-0.0280229,-0.102022,-0.811243
4.51033,2.80362,-0.636663,-0.684709,-0.0326139,-0.0985574,-0.83126
4.51532,2.81812,-0.660474,-0.691844,-0.0440554,-0.099689,-0.853802
4.52034,2.8276,-0.682272,-0.691836,-0.053016,-0.109136,-0.87026
4.52531,2.83352,-0.699937,-0.685022,-0.0603357,-0.125333,-0.881038
4.53031,2.83114,-0.713028,-0.676602,-0.070408,-0.136566,-0.890997
4.5353,2.82532,-0.717204,-0.66396,-0.0813684,-0.142762,-0.899864
4.54032,2.82177,-0.727679,-0.64875,-0.0992216,-0.143811,-0.909272
4.54531,2.8183,-0.747623,-0.634099,-0.103374,-0.133541,-0.914488
4.5502,2.81856,-0.757455,-0.622457,-0.106627,-0.121826,-0.922907
4.55533,2.82192,-0.770194,-0.609918,-0.105927,-0.105479,-0.924684
4.56035,2.82156,-0.789636,-0.607009,-0.108697,-0.0883814,-0.9263
4.56532,2.82855,-0.813919,-0.60772,-0.104596,-0.0651651,-0.932617
4.57033,2.83261,-0.824465,-0.611948,-0.103358,-0.0434292,-0.938381
4.57532,2.83488,-0.826315,-0.622976,-0.102108,-0.0228309,-0.943221
4.5803,2.83681,-0.828466,-0.638179,-0.0993353,-0.00197719,-0.952788
4.58531,2.84936,-0.838601,-0.648862,-0.0970552,0.0204459,-0.970043
4.59031,2.85783,-0.847987,-0.662376,-0.0983961,0.051872,-0.980802
4.59525,2.86814,-0.851963,-0.666713,-0.0974384,0.0858441,-0.99943
4.60015,2.87768,-0.853881,-0.670421,-0.098887,0.114769,-1.01435
4.60532,2.89664,-0.851212,-0.669044,-0.103446,0.143129,-1.02633
4.61033,2.90934,-0.845618,-0.668547,-0.109374,0.162093,-1.02513
4.61534,2.92007,-0.834718,-0.665307,-0.109231,0.178369,-1.03372
4.62033,2.93461,-0.816266,-0.66253,-0.116016,0.185264,-1.04674
4.62532,2.94885,-0.805576,-0.658922,-0.122119,0.183574,-1.06303
4.63033,2.95375,-0.796436,-0.647901,-0.125581,0.18037,-1.07996
4.63534,2.96374,-0.785177,-0.631749,-0.133969,0.165865,-1.09532
4.64032,2.97246,-0.775339,-0.618215,-0.148327,0.153014,-1.11233
4.64532,2.98462,-0.772726,-0.622191,-0.160147,0.14049,-1.14006
4.65034,3.00114,-0.773833,-0.63984,-0.170133,0.128509,-1.17616
4.65532,3.01374,-0.776108,-0.662475,-0.186405,0.121852,-1.19962
4.6603,3.0251,-0.776339,-0.688142,-0.207685,0.120183,-1.2125
4.66533,3.02853,-0.790555,-0.714302,-0.232683,0.125725,-1.22436
4.67032,3.02713,-0.812194,-0.737682,-0.260828,0.138205,-1.23481
4.67531,3.02416,-0.836131,-0.760883,-0.281092,0.148322,-1.23903
4.68032,3.02538,-0.852764,-0.778721,-0.295446,0.168146,-1.2445
4.68532,3.03312,-0.869491,-0.789874,-0.311542,0.187206,-1.24998
4.69025,3.03948,-0.878774,-0.800522,-0.325316,0.212908,-1.25969
4.69533,3.05048,-0.869782,-0.802071,-0.334133,0.242267,-1.27174
4.70034,3.06113,-0.849785,-0.799116,-0.347321,0.267539,-1.2814
4.70532,3.07201,-0.824626,-0.792041,-0.351198,0.2944,-1.28878
4.71035,3.08119,-0.801954,-0.785546,-0.353393,0.31988,-1.28423
